study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB43263	SAMEA8124528	ERX5136051	ERR5347665	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347665/ERR5347665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347665/ERR5347665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347665/B97-rep1_S2_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347665/B97-rep1_S2_L002_R2_001.fastq.gz	
PRJEB43263	SAMEA8124528	ERX5136051	ERR5347666	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347666/ERR5347666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347666/ERR5347666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347666/B97-rep1_S2_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347666/B97-rep1_S2_L003_R2_001.fastq.gz	
PRJEB43263	SAMEA8124528	ERX5136051	ERR5347667	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347667/ERR5347667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347667/ERR5347667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347667/B97-rep1_S2_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347667/B97-rep1_S2_L004_R2_001.fastq.gz	
PRJEB43263	SAMEA8124529	ERX5136052	ERR5347668	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347668/ERR5347668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347668/ERR5347668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347668/B97_rep2_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347668/B97_rep2_S2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124530	ERX5136053	ERR5347669	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347669/ERR5347669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347669/ERR5347669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347669/CML103_rep1_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347669/CML103_rep1_S2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124531	ERX5136054	ERR5347670	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347670/ERR5347670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347670/ERR5347670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347670/CML103-rep1-reseq_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347670/CML103-rep1-reseq_R2_001.fastq.gz	
PRJEB43263	SAMEA8124532	ERX5136055	ERR5347671	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347671/ERR5347671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347671/ERR5347671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347671/CML103-rep-3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347671/CML103-rep-3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124533	ERX5136056	ERR5347672	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347672/ERR5347672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347672/ERR5347672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347672/CML228_rep1_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347672/CML228_rep1_S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124534	ERX5136057	ERR5347673	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347673/ERR5347673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347673/ERR5347673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347673/CML228-rep2-2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347673/CML228-rep2-2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124535	ERX5136058	ERR5347674	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347674/ERR5347674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347674/ERR5347674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347674/CML247-rep1_S4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347674/CML247-rep1_S4_L001_R2_001.fastq.gz	
