,study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Sample,tissue
402,PRJEB36014,SAMEA6448369,ERX3793909,ERR3791805,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791805/ERR3791805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791805/ERR3791805_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791805/Ki3_8DAS_shoot_MN15021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791805/Ki3_8DAS_shoot_MN15021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/005/ERR3791805,KI3,shoot
403,PRJEB36014,SAMEA6448370,ERX3793910,ERR3791806,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791806/ERR3791806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791806/ERR3791806_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791806/Ki3_8DAS_shoot_MN15022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791806/Ki3_8DAS_shoot_MN15022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/006/ERR3791806,KI3,shoot
404,PRJEB36014,SAMEA6448371,ERX3793911,ERR3791807,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791807/ERR3791807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791807/ERR3791807_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791807/Ky21_8DAS_shoot_MN16021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791807/Ky21_8DAS_shoot_MN16021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/007/ERR3791807,KY21,shoot
405,PRJEB36014,SAMEA6448372,ERX3793912,ERR3791808,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791808/ERR3791808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791808/ERR3791808_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791808/Ky21_8DAS_shoot_MN16022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791808/Ky21_8DAS_shoot_MN16022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/008/ERR3791808,KY21,shoot
406,PRJEB36014,SAMEA6448373,ERX3793913,ERR3791809,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791809/ERR3791809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791809/ERR3791809_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791809/M162W_8DAS_shoot_MN17021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791809/M162W_8DAS_shoot_MN17021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/009/ERR3791809,M162W,shoot
407,PRJEB36014,SAMEA6448374,ERX3793914,ERR3791810,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791810/ERR3791810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791810/ERR3791810_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791810/M162W_8DAS_shoot_MN17022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791810/M162W_8DAS_shoot_MN17022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/000/ERR3791810,M162W,shoot
408,PRJEB36014,SAMEA6448375,ERX3793915,ERR3791811,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791811/ERR3791811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791811/ERR3791811_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791811/M37W_8DAS_shoot_MN18021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791811/M37W_8DAS_shoot_MN18021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/001/ERR3791811,M37W,shoot
409,PRJEB36014,SAMEA6448376,ERX3793916,ERR3791812,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791812/ERR3791812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791812/ERR3791812_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791812/M37W_8DAS_shoot_MN18022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791812/M37W_8DAS_shoot_MN18022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/002/ERR3791812,M37W,shoot
410,PRJEB36014,SAMEA6448377,ERX3793917,ERR3791813,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791813/ERR3791813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791813/ERR3791813_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791813/Mo18w_8DAS_shoot_MN19021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791813/Mo18w_8DAS_shoot_MN19021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/003/ERR3791813,MO18W,shoot
411,PRJEB36014,SAMEA6448378,ERX3793918,ERR3791814,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791814/ERR3791814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791814/ERR3791814_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791814/Mo18w_8DAS_shoot_MN19022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791814/Mo18w_8DAS_shoot_MN19022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/004/ERR3791814,MO18W,shoot
